case,f_khz,Lr_uH,Lm_uH,Vin,Cout_uF,Vf,ic_vcr,ic_ilm,ic_ilr,peak_half_A,peak_cycle_A,cross_dac300,cross_dac320
ic_f150_vcr+0_ilm+0.5_ilr+0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,0.0,0.5,0.1,25.03974343435858,31.939605536856252,True,True
ic_f150_vcr+1_ilm-0.5_ilr-0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,1.0,-0.5,-0.1,23.4875302347191,27.26861445913049,True,True
ic_f150_vcr+1_ilm-0.5_ilr+0.0,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,1.0,-0.5,0.0,23.660140560232207,27.670233539234616,True,True
ic_f150_vcr+1_ilm-0.5_ilr+0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,1.0,-0.5,0.1,23.802927757925083,28.071484098923435,True,True
ic_f150_vcr+1_ilm+0.0_ilr-0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,1.0,0.0,-0.1,23.51404499666612,27.328884794714657,True,True
ic_f150_vcr+1_ilm+0.0_ilr+0.0,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,1.0,0.0,0.0,23.654298774715663,27.700991489369212,True,True
ic_f150_vcr+1_ilm+0.0_ilr+0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,1.0,0.0,0.1,23.811678128732375,28.102185515162887,True,True
ic_f150_vcr+1_ilm+0.5_ilr-0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,1.0,0.5,-0.1,23.578037136972643,27.50232051702027,True,True
ic_f150_vcr+1_ilm+0.5_ilr+0.0,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,1.0,0.5,0.0,23.7333661191711,27.875444365260545,True,True
ic_f150_vcr+1_ilm+0.5_ilr+0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,1.0,0.5,0.1,23.87664442023898,28.248279838066782,True,True
ic_f150_vcr+2_ilm-0.5_ilr-0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,2.0,-0.5,-0.1,22.323127435296378,23.57278994221877,True,True
ic_f150_vcr+2_ilm-0.5_ilr+0.0,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,2.0,-0.5,0.0,22.492352328771705,23.9743385682677,True,True
ic_f150_vcr+2_ilm-0.5_ilr+0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,2.0,-0.5,0.1,22.638479964060274,24.375496444077125,True,True
ic_f150_vcr+2_ilm+0.0_ilr-0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,2.0,0.0,-0.1,22.347887385249496,23.633959957854753,True,True
ic_f150_vcr+2_ilm+0.0_ilr+0.0,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,2.0,0.0,0.0,22.498499514534164,24.00509458257306,True,True
ic_f150_vcr+2_ilm+0.0_ilr+0.1,150.0,3.3850000000000002,17.25,24.0,940.0,0.7,2.0,0.0,0.1,22.64722871720491,24.406184070389024,True,True
